-41.59	7.04	-10.42		-285	1784	1744
-43.02	6.94	-9.73		-299	1861	1704
-56.96	-0.19	8.73		1901	2112	1731
-56.66	-0.50	8.95		1956	2100	1737
-46.73	-7.17	6.56		2242	1566	2047
-46.61	-7.19	6.24		2185	1540	2057
-41.53	-4.47	-0.96		1234	1217	1836
-41.36	-4.42	-1.01		1260	1214	1872
-42.46	-0.78	-6.05		501	1005	1823
-42.41	-0.87	-6.19		491	976	1831
-35.29	-7.50	-11.58		954	-48	2114
-35.02	-7.52	-11.54		960	-53	2111
-35.95	-3.85	-6.74		780	729	1946
-35.98	-3.77	-6.64		770	767	1957
-02	-8.40	-65	-8.02	-69	-8.12	-46	-11.05		179	28-48	-11.03		179	294-13	-10.75	-15	-10.81-39.66	-5.8	2137
-39.37	-5.90	-15.50		197	-170	2127
-20.76	-9.61	-40.05		456	-2303	3739
-20.46	-9.54	-40.55		498	-2347	3788
-8.18	-3.30	-39.35		579	-1595	3071
-8.07	-3.03	-39.36		592	-1570	3081
4.02	8.64	-32.94		240	-1029	2845
4.24	8.63	-32.26		242	-961	2786
8.58	11.51	-12.97		386	1141	613
8.86	11.91	-12.66		397	1215	505
-42.96	-25.96	-151.91		-3674	4501	13156
-42.68	-27.71	-153.20		-3505	4425	13388
20.65	-83.31	127.48		-5276	4886	9880
34.33	-83.70	113.36		-5259	4840	9688
101.21	-57.88	10.15		-2736	6605	4780
988	2.06	4	1682
99	1.91		9-3.09		-90	-3.08	90	-2.32	94	-2.33	99.04	-3.599.09	-3.51	-1.87		-226	1161	1360
98.78	-1.33	-0.91		-316	746	1364
98.77	-1.29	-0.90		-318	738	1359
98.33	0.02	-1.02		-254	589	1324
98.33	0.06	-1.01		-252	576	1322
99.10	0.89	-1.32		-166	484	1324
99.09	0.93	-1.33		-162	473	1323
99.70	2.03	-2.14		-44	332	1328
99.80	2.07	-2.17		-29	333	1323
106.27	3.46	-0.62		32	100	1386
106.36	3.57	-0.48		15	70	1394
108.18	6.29	-1.38		287	-194	1509
108.25	6.32	-1.48		308	-187	1507
109.34	8.19	-4.15		643	-309	1595
109.31	8.29	-4.29		664	-318	1602
